region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,loess | 5 fold,84844,83293.9097635746,0.3333333333333333,-1.0,3.1716924850418367,0.047622200015029766,0.06512406740096104,0.012253565602660901,0.00427102983910967
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,aspline_20 | degree 1,84844,81280.64964544964,-1.0,14.666666666666666,5.292765016154934,0.0781476370925482,0.10408543829446347,0.015262425619845301,1.0379966520905152e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,aspline_20 | degree 3,84844,81225.75443638294,-1.0,14.666666666666666,5.244539526840666,0.06996117506501683,0.09248154797695024,0.013556568097533833,7.825834107546717e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,aspline_40 | degree 1,84844,80745.21134378463,-1.0,5.333333333333333,5.762055930179268,0.07835300524191917,0.10553763876189354,0.017267087991822735,7.5903795027088e-08
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,aspline_40 | degree 3,84844,80690.08048821102,-1.0,3.0,5.079910515154714,0.06452876031988956,0.08232008635263416,0.018249702738938268,9.690112588957749e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,loess | 3 fold,84844,84287.72536071141,0.4166666666666667,-1.0,3.8989988044474515,0.05433120050560623,0.07519779821706629,0.011088344649544633,0.009096263732572213
"Baltimore-Columbia-Towson, MD",2020-10-14,32_direct,loess | 5 fold,84844,84380.42140984535,0.4666666666666666,-1.0,3.9169089760213147,0.0575485751808013,0.0802480546770168,0.0127308165793268,1.8571861054953825e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,aspline_20 | degree 1,84844,84515.57516065503,-1.0,16.0,1.7813956130739472,0.08231111141692073,0.11189909337932182,0.019752463484915966,2.5349076171465867e-09
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,aspline_20 | degree 3,84844,84665.27392247204,-1.0,4.333333333333333,2.2730482776997483,0.07110205072405253,0.0912409169088418,0.017563612087563935,1.2441898291267368e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,aspline_40 | degree 1,84844,84465.7815999137,-1.0,4.0,2.1600411868057283,0.08281332947160848,0.10904836488676617,0.016492003908929968,0.0003231865141563372
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,aspline_40 | degree 3,84844,84759.93810044181,-1.0,4.333333333333333,2.1265206744166645,0.07405636051450147,0.09447276571406173,0.0177496598072592,1.8173887813185038e-07
