region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,loess | 5 fold,346906,359807.77976989746,0.35000000000000003,-1,3.719099632147458,0.1873410109973786,0.25624560951007447,0.007980525292090701,0.021220170205404232
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,aspline_20 | degree 1,346906,339546.84270607325,-1,20,2.1213692740761907,0.2103139281214145,0.29276095620148934,0.01295533794931758,1.3891841043944808e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,aspline_20 | degree 3,346906,339971.4643816778,-1,20,1.9989667570818042,0.24037410004181686,0.3334344790887482,0.01148498938698117,0.00017752240973833988
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,aspline_40 | degree 1,346906,339317.42292940785,-1,7,2.187502398514914,0.2019608549922243,0.28032011650484473,0.011212269428466426,0.0002711361267877521
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,aspline_40 | degree 3,346906,340027.18845962407,-1,14,1.9829035935890211,0.23095476855143526,0.3219707977859356,0.011626061327192128,0.00014068127627298033
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,loess | 3 fold,346906,353677.7208032608,0.4,-1,1.9520333471490268,0.1579663951660247,0.21478286574985825,0.01349626172600532,4.8710121891559766e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_direct,loess | 5 fold,346906,353677.7208032608,0.4,-1,1.9520333471490268,0.1579663951660247,0.21478286574985825,0.01349626172600532,4.8710121891559766e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,aspline_20 | degree 1,346906,329520.2431660369,-1,11,5.011662189170293,0.23267373058121216,0.31796432429534244,0.01158318658625268,0.0001348497572803975
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,aspline_20 | degree 3,346906,329501.6636087173,-1,20,5.017017979303522,0.24059957725470932,0.32708461364132857,0.014535673064845822,5.376003955337438e-07
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,aspline_40 | degree 1,346906,331113.99489777896,-1,7,4.552243288447314,0.19541136279203897,0.2589752217078789,0.01313333418750584,8.601865378987661e-06
